id,name,visibility,is_corporate,is_external,categories
151604,J1 - RS Munsö/Ekerö,hidden,false,false,Undergrupp till Station
151681,RS Växjö Båtgrupp,hidden,false,false,Undergrupp till Station
152326,Visningar föredrag RS Arkösund,hidden,false,false,
152335,Grannstationer till RS Arkösund,hidden,false,false,
152542,Båtgruppen,hidden,false,false,
154987,Samverkan Arkösund - Trosa,hidden,false,false,
155256,RS Rörö Båtansvariga,hidden,false,false,
155257,RS Luleå Utbildning,hidden,false,false,Undergrupp till Station
155258,RS Luleå Båt,hidden,false,false,Undergrupp till Station
155259,RS Luleå Rakel Teknik,hidden,false,false,Undergrupp till Station
155278,Basic-SAR RS Södertälje,hidden,false,false,Undergrupp till Station
155283,Life Guard RS Arkösund,hidden,false,false,Undergrupp till Station
155567,Ledningsgruppen RS Södertälje,hidden,false,false,Undergrupp till Station
155568,"Köp, sälj och bytes - besättningskläder",public,false,false,
155571,Besättning 1,hidden,false,false,Undergrupp till Station
155572,Besättning 2,hidden,false,false,Undergrupp till Station
155573,Besättning 3,hidden,false,false,Undergrupp till Station
155595,Elever,hidden,false,false,Undergrupp till Station
155601,Ledningsgrupp,hidden,false,false,Undergrupp till Station
156128,Jourlag 1 Gävle,hidden,false,false,Undergrupp till Station
156129,Jourlag 2 Gävle,hidden,false,false,Undergrupp till Station
156130,Jourlag 3 Gävle,hidden,false,false,Undergrupp till Station
156131,Jourlag 4 Gävle,hidden,false,false,Undergrupp till Station
156134,RS Luleå Externa kontakter och Media,hidden,false,false,Undergrupp till Station
156139,Instruktör Egen Säkerhet,hidden,false,false,
157253,RS Hasslö LG,hidden,false,false,Undergrupp till Station
157254,Bilder RS Åmål,hidden,false,false,Undergrupp till Station
157257,Utbildnining och sjukvård Kalmar,hidden,false,false,Undergrupp till Station
157281,Dokument - RS Kållandsö,hidden,false,false,Undergrupp till Station
157285,Instruktör Basic SAR,hidden,false,false,
157286,Instruktör Rescuerunner,hidden,false,false,
158051,Instruktör Gunnel Larson-klassen,hidden,false,false,
158053,Huvud instruktör FHS,hidden,false,false,
160430,Interninformation,hidden,false,false,
160693,Samverkan Norrbotten,public,false,false,Samverkansgrupper
161231,Befälhavare RS Barsebäckshamn,hidden,false,false,Undergrupp till Station
161374,"IT, teknik och kommunikation Kalmar",hidden,false,false,Undergrupp till Station
161375,Båtgruppen Kalmar,hidden,false,false,Undergrupp till Station
161376,"Bil, svävare och släp Kalmar",hidden,false,false,Undergrupp till Station
161377,Personal och trivsel Kalmar,hidden,false,false,Undergrupp till Station
161380,Räddningsskeppare RS Rörö,hidden,false,false,Undergrupp till Station
161919,Samverkan Sundsvall-Härnösand,public,false,false,Samverkansgrupper
163282,Dagjouren RS Barsebäckshamn,hidden,false,false,Undergrupp till Station
163283,Jourlag 1 RS Barsebäckshamn,hidden,false,false,Undergrupp till Station
163284,Jourlag2 RS Barsebäckshamn,hidden,false,false,Undergrupp till Station
163285,Jourlag3 RS Barsebäckshamn,hidden,false,false,Undergrupp till Station
163414,RS Möja WorkVivo-ambassadör,hidden,false,false,Undergrupp till Station
164009,RS Råå marknadsgrupp,hidden,false,false,Undergrupp till Station
164010,Besättningsansvariga,hidden,false,false,Undergrupp till Station
164212,Ledningsgruppen,hidden,false,false,Undergrupp till Station
165206,LG RS Råå,hidden,false,false,
166784,Arbetsgrupp Basic SAR,hidden,false,false,Undergrupp till Station
166815,Samverkan Hörvik o Sölvesborg,hidden,false,false,Samverkansgrupper
166977,Skeppare Falkenberg,hidden,false,false,Undergrupp till Station
167024,Elever RS Luleå,hidden,false,false,Undergrupp till Station
167188,RS Trosa Basic SAR,hidden,false,false,Undergrupp till Station
167483,Stationshus,hidden,false,false,Undergrupp till Station
178309,Basic SAR intruktörer Sthlm,hidden,false,false,Undergrupp till Station
178485,Bilder & Filmer,hidden,false,false,Undergrupp till Station
178514,Stationsövergripande funktioner (SÖF),hidden,false,false,
178515,Rekrytering,hidden,false,false,Undergrupp till Station
178518,Kamratstöd,hidden,false,false,Undergrupp till Station
179580,Båtklass K15,public,false,false,Båtklasser
187853,Garmin Navigation och Radar,public,false,false,
188016,Utbildningsgruppen,hidden,false,false,Undergrupp till Station
188040,SSRS Båtförflyttningar,hidden,false,false,
188297,Stationshus RS Hörvik,hidden,false,false,Undergrupp till Station
190081,RS Uppsala - Befälhavare,hidden,false,false,Undergrupp till Station
191643,Rsc inlånad båt,hidden,false,false,Undergrupp till Station
191684,Basic SAR 2025 - elever,hidden,false,false,Samverkansgrupper
191691,Stationsledning RS Lomma,hidden,false,false,Undergrupp till Station
191708,Elever-25,hidden,false,false,Undergrupp till Station
200426,Nynäs Räddningspersoner,hidden,false,false,Undergrupp till Station
200435,Utbildningsgruppen RP 1,hidden,false,false,Undergrupp till Station
201443,Rescue K9 #4,hidden,false,false,
201533,Skeppare RS Ystad,hidden,false,false,
201539,RS Utbildning & Övning,hidden,false,false,Undergrupp till Station
201540,RS Uddevalla Evenemang,hidden,false,false,Undergrupp till Station
201541,RS Uddevalla Båtar,hidden,false,false,Undergrupp till Station
201954,RS Växjö Kommunikation,hidden,false,false,Undergrupp till Station
204989,Bokning av lokalen RS Arkösund,hidden,false,false,Undergrupp till Station
213528,Skepparaspiranter RS Gävle,hidden,false,false,Undergrupp till Station
213601,Rescue Casque,hidden,false,false,Undergrupp till Station
213602,Rescue Famous,hidden,false,false,Undergrupp till Station
213603,Rescue Patrik Dahl,hidden,false,false,Undergrupp till Station
213953,På Sjön - uppdrag och händelser,hidden,false,false,Undergrupp till Station
222354,Kommunikation RS Stenungsund,hidden,false,false,Undergrupp till Station
223273,🛟Jourskeppare Dalarö,hidden,false,false,Undergrupp till Station
224334,Projekt Simulatorcenter,public,false,false,
228280,Rescue Stenhammar,hidden,false,false,Undergrupp till Station
233340,"Instruktörsgruppen – din plats för stöd, struktur och gemenskap",hidden,false,false,
233451,Fotogalleri,hidden,false,false,Undergrupp till Station
255774,Kamratstödsgruppen,hidden,false,false,Undergrupp till Station
260343,SAR Kartan,public,false,false,
262397,K15 RS Arkösund,hidden,false,false,
263695,Bunkring RS Hörvik,hidden,false,false,Undergrupp till Station
267174,RS Luleå Stationshus,private,false,false,Undergrupp till Station
267587,Skeppare,hidden,false,false,Undergrupp till Station
271351,Samverkan Kalix Luleå,public,false,false,Samverkansgrupper
272521,Elevprogram RS Stenungsund,hidden,false,false,Undergrupp till Station
276012,Testgrupp Workvivo - Tomas K,hidden,false,false,
276063,Sjöräddare i civila kläder,public,false,false,Samverkansgrupper
276328,Spons Södertälje,private,false,false,Undergrupp till Station
276519,K12 - William Eriksson,private,false,false,Undergrupp till Station
276629,Bengas cirkulär,private,false,false,
276637,Svävare Henrik Nyström,private,false,false,Undergrupp till Station
276733,Fartygsbefäl klass 8 utbildningsgrupp RS Stenungsund,private,false,false,Undergrupp till Station
276829,Roberts testgrupp,hidden,false,false,
276852,Rakel programmerings-gruppen,hidden,false,false,
276879,RS Nynäshamn ledningsgrupp,private,false,false,Undergrupp till Station
276881,Frivillig-gruppen,private,false,false,Undergrupp till Station
276918,Utbildningsgrupp RS Ystad,private,false,false,Undergrupp till Station
276919,Övningsgrupp RS Ystad,private,false,false,Undergrupp till Station
277328,Samverkan Sundsvall & Hudiksvall,public,false,false,Samverkansgrupper
277355,Fartygsinfo,private,false,false,Undergrupp till Station
277497,Basic-SAR HT2025 Dalarö,private,false,false,
278269,Båtklass Räddningsbil,public,false,false,Båtklasser
278348,Navigationskurs,hidden,false,false,Undergrupp till Station
278666,"Studiegrupp FBVIII, MBVIII",hidden,false,false,Undergrupp till Station
278676,Bilder och Filmer,hidden,false,false,Undergrupp till Station
278710,Nynäshamn Förslagslåda,private,false,false,Undergrupp till Station
279408,Skötsel av enheter,private,false,false,Undergrupp till Station
279409,15-01 Mai Rassy,private,false,false,Undergrupp till Station
279410,12-36 Sten A Olsson,private,false,false,Undergrupp till Station
